Ticket ID,Issue Description,Resolution,Resolution Time (Minutes),Issue Category,Issue Subcategory,Application Version,Issue Priority,Status,Resolution Method,Root Cause Analysis,User Sentiment,Knowledge Base Link,Created Date,Resolved Date,Proactive Alerts
10001,Unexpected error code 500 on login API,"Restored previous permissions, verified access",31,Data Processing,Connection Timeout,v1.5,High,In Progress,Automated,High volume during peak times,Satisfied,KB-029,2024-10-25 23:56,2024-10-26 00:27,Yes
10002,Frequent timeouts on report generation,Reset password; instructed user on password policy,19,Database Issues,Permission Issues,v1.5,Critical,In Progress,Automated,Load balancer misconfiguration,Neutral,KB-023,2024-10-15 06:49,2024-10-15 07:08,Yes
10003,Application UI layout broken on mobile devices,"Increased timeout settings, updated configuration files",35,Performance,Dashboard Performance,v1.3,Medium,Resolved,Automated,Incorrect password entry,Satisfied,KB-070,2024-10-20 01:44,2024-10-20 02:19,No
10004,Login API giving intermittent errors,Optimized query execution for faster response,47,UI/UX Issues,Connection Timeout,v1.2,Low,In Progress,Automated,Inefficient query configuration,Dissatisfied,KB-003,2024-10-27 07:28,2024-10-27 08:15,No
10005,Application UI layout broken on mobile devices,Optimized query execution for faster response,84,Database Issues,Connection Timeout,v1.4,Critical,Pending,Automated,Insufficient connection handling capacity,Neutral,KB-064,2024-10-01 09:32,2024-10-01 10:56,No
10006,"Error in batch processing job, causing delays","Rolled back deployment, corrected YAML configuration",52,Database Issues,Data Retrieval,v1.6,Critical,Resolved,Manual,CSS not optimized for mobile layout,Dissatisfied,KB-067,2024-10-21 08:58,2024-10-21 09:50,No
10007,Unexpected error code 500 on login API,Implemented caching for frequently accessed data,16,API Issues,Connection Timeout,v1.5,Critical,Pending,Manual,Load balancer misconfiguration,Dissatisfied,KB-057,2024-10-29 10:46,2024-10-29 11:02,Yes
10008,Database connection lost during high traffic,"Rolled back deployment, corrected YAML configuration",90,API Issues,Login API,v1.2,Critical,Pending,Automated,Insufficient connection handling capacity,Dissatisfied,KB-054,2024-10-20 12:09,2024-10-20 13:39,No
10009,Login API giving intermittent errors,"Adjusted load balancer settings, added redundancy",28,Performance,Batch Job Failure,v1.2,High,In Progress,Automated,Cache issues causing server errors,Dissatisfied,KB-012,2024-10-19 12:14,2024-10-19 12:42,No
10010,Database connection lost during high traffic,"Rolled back deployment, corrected YAML configuration",48,Database Issues,Data Retrieval,v1.2,High,Pending,Automated,Inefficient query configuration,Neutral,KB-069,2024-10-23 06:02,2024-10-23 06:50,No
10011,User can't access data after permission change,"Rolled back deployment, corrected YAML configuration",17,API Issues,Responsive Design,v1.4,Low,In Progress,Automated,Incorrect role configuration,Neutral,KB-009,2024-10-30 09:33,2024-10-30 09:50,No
10012,Users reporting slow load times on dashboard,"Updated CSS for responsive design, tested on multiple devices",25,API Issues,Batch Job Failure,v1.2,High,Resolved,Manual,High demand on server resources,Neutral,KB-044,2024-10-18 00:48,2024-10-18 01:13,No
10013,Error during deployment in CI/CD pipeline,Implemented caching for frequently accessed data,89,Performance,Batch Job Failure,v1.4,Low,In Progress,Manual,Default timeout too low for large reports,Neutral,KB-053,2024-10-09 08:02,2024-10-09 09:31,No
10014,Unexpected error code 500 on login API,Reset password; instructed user on password policy,34,Performance,Dashboard Performance,v1.5,Critical,Resolved,Automated,Cache issues causing server errors,Satisfied,KB-065,2024-10-23 03:36,2024-10-23 04:10,Yes
10015,Users reporting slow load times on dashboard,"Updated CSS for responsive design, tested on multiple devices",53,API Issues,Report Generation,v1.4,High,Resolved,Manual,Cache issues causing server errors,Satisfied,KB-055,2024-10-16 17:49,2024-10-16 18:42,No
10016,Frequent timeouts on report generation,"Adjusted load balancer settings, added redundancy",29,API Issues,Responsive Design,v1.4,Low,Resolved,Manual,High volume during peak times,Neutral,KB-010,2024-10-24 09:18,2024-10-24 09:47,No
10017,User can't access data after permission change,"Rolled back deployment, corrected YAML configuration",82,Data Access,Intermittent Errors,v1.5,Medium,In Progress,Automated,Cache issues causing server errors,Satisfied,KB-053,2024-10-12 01:05,2024-10-12 02:27,No
10018,Unexpected error code 500 on login API,"Adjusted load balancer settings, added redundancy",62,Configuration,Dashboard Performance,v1.2,Critical,Pending,Manual,Incorrect password entry,Dissatisfied,KB-034,2024-10-04 14:09,2024-10-04 15:11,No
10019,"Error in batch processing job, causing delays","Rolled back deployment, corrected YAML configuration",34,Database Issues,Data Retrieval,v1.2,Critical,Pending,Automated,Inefficient query configuration,Dissatisfied,KB-095,2024-10-28 12:34,2024-10-28 13:08,No
10020,Application slow response in data retrieval,"Restored previous permissions, verified access",23,Database Issues,Data Retrieval,v1.5,Critical,In Progress,Manual,High demand on server resources,Neutral,KB-097,2024-10-01 14:47,2024-10-01 15:10,No
10021,Frequent timeouts on report generation,"Increased timeout settings, updated configuration files",49,Data Access,Connection Timeout,v1.5,Critical,In Progress,Manual,CSS not optimized for mobile layout,Satisfied,KB-019,2024-10-05 13:36,2024-10-05 14:25,No
10022,Frequent timeouts on report generation,"Increased timeout settings, updated configuration files",83,Performance,Data Retrieval,v1.4,Critical,In Progress,Automated,Insufficient connection handling capacity,Neutral,KB-012,2024-10-26 17:00,2024-10-26 18:23,No
10023,Frequent timeouts on report generation,"Rolled back deployment, corrected YAML configuration",89,Data Access,Batch Job Failure,v1.6,Medium,Resolved,Manual,Incorrect password entry,Neutral,KB-021,2024-10-18 19:56,2024-10-18 21:25,No
